socialHeadline,headline,urlAlias,updatedDate
"""Rampaging mobs in Hong Kong launch arson attacks on shops and MTR stations""","""Rampaging mobs stage an arson spree in Hong Kong setting mainland Chinese-linked shops and metro stations ablaze and hurling petrol bombs at police""",https://scmp.com/print/news/hong-kong/politics/article/3033793/rampaging-mob-stages-arson-spree-hong-kong-setting-mainland,21/10/2019 02:55
"""Muslim Council of Hong Kong says not to ‘seek revenge’ over police water cannon incident""","""Muslim Council of Hong Kong appeals for calm after police water cannons spray blue dye at front of Kowloon Mosque""",https://scmp.com/print/news/hong-kong/politics/article/3033792/hong-kong-ethnic-minority-groups-safe-reprisal-attacks,21/10/2019 01:43
"""Taiwan rejects Hong Kong murder suspect’s surrender offer""","""Taiwan rejects murder suspect’s surrender offer, says Hong Kong must comply with ‘legal procedures’""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3033790/taiwan-rejects-murder-suspects-surrender-offer-says,23/10/2019 09:12
"""Rail passengers hit with double whammy as signal failure compounds protests""","""Hong Kong rail passengers hit with double whammy as signal failure compounds protest disruption""",https://scmp.com/print/news/hong-kong/transport/article/3033787/hong-kong-rail-passengers-hit-double-whammy-signal-failure,20/10/2019 15:02
"""Party mouthpiece slams university chief over police abuse inquiry call""","""Communist Party mouthpiece slams Hong Kong university chief’s call for police abuse probe""",https://scmp.com/print/news/china/politics/article/3033778/communist-party-mouthpiece-slams-hong-kong-university-chiefs,20/10/2019 15:25
"""Catalan protests fuelled by ‘chaos’ in Hong Kong, Chinese ex-envoy says""","""Hong Kong ‘chaos’ spurring on Catalan protests, Scottish independence movement, ex-Chinese envoy says""",https://scmp.com/print/news/china/diplomacy/article/3033758/hong-kong-chaos-spurring-catalan-protests-scottish,20/10/2019 07:42
"""Lam pledges other options if police conduct probe cannot quell public anger""","""Hong Kong leader Carrie Lam pledges other options if police conduct probe cannot quell public anger at force handling of anti-government protests""",https://scmp.com/print/news/hong-kong/politics/article/3033753/hong-kong-leader-carrie-lam-pledges-other-options-if-police,20/10/2019 15:53
"""As it happened: arson spree hits Xiaomi, Best Mart 360, Tong Ren Tang""","""As it happened: Hong Kong arson spree on stores such as Xiaomi, Best Mart 360 and Tong Ren Tang amid protests""",https://scmp.com/print/news/hong-kong/politics/article/3033714/protesters-block-roads-during-illegal-march-hong-kong,20/10/2019 16:19
"""Police treatment of children arrested at Hong Kong protests raises concern""","""Arrest and detention of children over Hong Kong’s anti-government protests raise questions on police treatment and legal process""",https://scmp.com/print/news/hong-kong/politics/article/3033706/arrest-and-detention-children-over-hong-kongs-anti,20/10/2019 01:04
"""Rare peaceful start to weekend with Central rally, as illegal Sunday march looms""","""About 1,000 gather in Central for rally calling for humanitarian aid on rare peaceful start to weekend, as city braces for illegal march on Sunday""",https://scmp.com/print/news/hong-kong/politics/article/3033713/about-1000-gather-central-rally-calling-humanitarian-aid,19/10/2019 16:38
"""Man surrenders after knife attack near Hong Kong Lennon Wall""","""Man turns himself in at police station after attacking teenager with knife near Hong Kong Lennon Wall""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3033712/man-turns-himself-police-station-after-attacking,19/10/2019 16:43
